destination,country,continent,population,cost_index,safety_index,climate,activities,style,has_beaches,has_mountains,is_urban,is_safe,is_expensive
"Patagonia, Chile Variant 129",Chile,South America,130504,72.33465796480243,94.01326127803715,Cold,"['Trekking', 'Glacier hiking', 'Wildlife watching']",Adventure,False,True,False,True,False
"Patagonia, Chile Variant 130",Chile,South America,85058,52.691268962344324,97.22169395990906,Cold,"['Trekking', 'Glacier hiking', 'Wildlife watching']",Adventure,False,True,False,True,False
Iceland Variant 131,Iceland,Europe,206850,123.60169002135515,100.0,Cold,"['Glacier tours', 'Northern lights', 'Volcano visits']",Adventure,False,True,False,True,True
"Queenstown, New Zealand Variant 132",New Zealand,Oceania,19254,101.28615545571292,88.09949270892554,Temperate,"['Bungee jumping', 'Skydiving', 'Hiking', 'Rafting']",Adventure,False,False,False,True,True
Iceland Variant 133,Iceland,Europe,419174,118.0532973812252,100.0,Cold,"['Glacier tours', 'Northern lights', 'Volcano visits']",Adventure,False,True,False,True,True
"Queenstown, New Zealand Variant 134",New Zealand,Oceania,14881,82.18614893448914,86.67653401902496,Temperate,"['Bungee jumping', 'Skydiving', 'Hiking', 'Rafting']",Adventure,False,False,False,True,False
"Patagonia, Chile Variant 135",Chile,South America,112080,58.51945093844259,86.98871898558912,Cold,"['Trekking', 'Glacier hiking', 'Wildlife watching']",Adventure,False,True,False,True,False
Iceland Variant 136,Iceland,Europe,259050,123.66598246096848,93.30060106836322,Cold,"['Glacier tours', 'Northern lights', 'Volcano visits']",Adventure,False,True,False,True,True
Costa Rica Variant 137,Costa Rica,Central America,4312903,74.37320902726829,89.77571160250619,Tropical,"['Zip-lining', 'Surfing', 'Rainforest trekking']",Adventure,False,False,True,True,False
Bhutan Variant 138,Bhutan,Asia,1134294,51.34335213516344,94.52053429845267,Mountain,"['Trekking', 'Buddhist temples', 'Cultural immersion']",Adventure,False,True,True,True,False
Bhutan Variant 139,Bhutan,Asia,515079,56.84500926711512,89.20487253383071,Mountain,"['Trekking', 'Buddhist temples', 'Cultural immersion']",Adventure,False,True,False,True,False
Bhutan Variant 140,Bhutan,Asia,807510,43.541432401500586,94.56470625395748,Mountain,"['Trekking', 'Buddhist temples', 'Cultural immersion']",Adventure,False,True,False,True,False
"Patagonia, Chile Variant 141",Chile,South America,62874,57.815103587134146,84.19837487365348,Cold,"['Trekking', 'Glacier hiking', 'Wildlife watching']",Adventure,False,True,False,False,False
"Patagonia, Chile Variant 142",Chile,South America,129941,63.00274492007414,91.0698995536711,Cold,"['Trekking', 'Glacier hiking', 'Wildlife watching']",Adventure,False,True,False,True,False
Iceland Variant 143,Iceland,Europe,497305,118.8767195030917,96.89515200233389,Cold,"['Glacier tours', 'Northern lights', 'Volcano visits']",Adventure,False,True,False,True,True
"Queenstown, New Zealand Variant 144",New Zealand,Oceania,8767,86.78128425761065,95.17817729925228,Temperate,"['Bungee jumping', 'Skydiving', 'Hiking', 'Rafting']",Adventure,False,False,False,True,False
"Patagonia, Chile Variant 145",Chile,South America,125995,87.80729438145222,91.26239894171792,Cold,"['Trekking', 'Glacier hiking', 'Wildlife watching']",Adventure,False,True,False,True,False
"Patagonia, Chile Variant 146",Chile,South America,53668,78.51402092378828,85.06032077101729,Cold,"['Trekking', 'Glacier hiking', 'Wildlife watching']",Adventure,False,True,False,True,False
Iceland Variant 147,Iceland,Europe,361239,118.72082408519233,93.22229779699788,Cold,"['Glacier tours', 'Northern lights', 'Volcano visits']",Adventure,False,True,False,True,True
Iceland Variant 148,Iceland,Europe,314007,122.93666023609465,95.55615088272233,Cold,"['Glacier tours', 'Northern lights', 'Volcano visits']",Adventure,False,True,False,True,True
Costa Rica Variant 149,Costa Rica,Central America,2652363,64.38737367053409,81.72813326943492,Tropical,"['Zip-lining', 'Surfing', 'Rainforest trekking']",Adventure,False,False,True,False,False
"Patagonia, Chile Variant 150",Chile,South America,103533,62.97448882879836,84.03369942180787,Cold,"['Trekking', 'Glacier hiking', 'Wildlife watching']",Adventure,False,True,False,False,False
"Bali, Indonesia Variant 1",Indonesia,Asia,4952229,54.92027358683383,87.39972069445012,Tropical,"['Beach lounging', 'Spa treatments', 'Yoga retreats']",Relaxation,True,False,True,True,False
"Hawaii, USA Variant 2",USA,North America,1451949,125.23124077269657,89.69455021842329,Tropical,"['Beach activities', 'Volcano tours', 'Luau experiences']",Relaxation,True,False,True,True,True
"Bali, Indonesia Variant 3",Indonesia,Asia,4470725,39.769237611196466,74.32067251246376,Tropical,"['Beach lounging', 'Spa treatments', 'Yoga retreats']",Relaxation,True,False,True,False,False
"Hawaii, USA Variant 4",USA,North America,1604284,90.86222419731644,91.70642289030238,Tropical,"['Beach activities', 'Volcano tours', 'Luau experiences']",Relaxation,True,False,True,True,False
"Phuket, Thailand Variant 5",Thailand,Asia,348746,53.82909591713125,75.70578979223902,Tropical,"['Island hopping', 'Massage', 'Beach bars']",Relaxation,True,False,False,False,False
"Hawaii, USA Variant 6",USA,North America,1891144,111.73966329169569,91.53935973621213,Tropical,"['Beach activities', 'Volcano tours', 'Luau experiences']",Relaxation,True,False,True,True,True
Maldives Variant 7,Maldives,Asia,737373,134.23228669431668,88.77695612912878,Tropical,"['Snorkeling', 'Private villas', 'Spa resorts']",Relaxation,False,False,False,True,True
Maldives Variant 8,Maldives,Asia,713265,142.85980166188284,93.91556417687528,Tropical,"['Snorkeling', 'Private villas', 'Spa resorts']",Relaxation,False,False,False,True,True
"Santorini, Greece Variant 9",Greece,Europe,11699,83.37376241054153,90.8529933429658,Mediterranean,"['Sunset watching', 'Wine tasting', 'Beach relaxation']",Relaxation,True,False,False,True,False
"Hawaii, USA Variant 10",USA,North America,1295611,93.72457562116837,87.24042473330691,Tropical,"['Beach activities', 'Volcano tours', 'Luau experiences']",Relaxation,True,False,True,True,False
"Bali, Indonesia Variant 11",Indonesia,Asia,4664604,61.38592458777374,71.6923996886552,Tropical,"['Beach lounging', 'Spa treatments', 'Yoga retreats']",Relaxation,True,False,True,False,False
Maldives Variant 12,Maldives,Asia,773287,148.8192991038324,76.5756393051613,Tropical,"['Snorkeling', 'Private villas', 'Spa resorts']",Relaxation,False,False,False,False,True
"Santorini, Greece Variant 13",Greece,Europe,14314,109.97008156842946,97.91996063842467,Mediterranean,"['Sunset watching', 'Wine tasting', 'Beach relaxation']",Relaxation,True,False,False,True,True
"Santorini, Greece Variant 14",Greece,Europe,12335,83.98031321103615,91.8012554731768,Mediterranean,"['Sunset watching', 'Wine tasting', 'Beach relaxation']",Relaxation,True,False,False,True,False
"Phuket, Thailand Variant 15",Thailand,Asia,211138,59.283259634425626,76.88090740255473,Tropical,"['Island hopping', 'Massage', 'Beach bars']",Relaxation,True,False,False,False,False
Maldives Variant 16,Maldives,Asia,458388,141.69729284390374,85.44696959572825,Tropical,"['Snorkeling', 'Private villas', 'Spa resorts']",Relaxation,False,False,False,True,True
"Hawaii, USA Variant 17",USA,North America,1230920,111.83511823087736,88.76578811611333,Tropical,"['Beach activities', 'Volcano tours', 'Luau experiences']",Relaxation,True,False,True,True,True
"Hawaii, USA Variant 18",USA,North America,1878560,113.37602662075201,84.94061516938767,Tropical,"['Beach activities', 'Volcano tours', 'Luau experiences']",Relaxation,True,False,True,False,True
"Hawaii, USA Variant 19",USA,North America,929118,113.94452142378297,84.89507759589868,Tropical,"['Beach activities', 'Volcano tours', 'Luau experiences']",Relaxation,True,False,False,False,True
Maldives Variant 20,Maldives,Asia,612229,137.25955642768972,88.04056945609166,Tropical,"['Snorkeling', 'Private villas', 'Spa resorts']",Relaxation,False,False,False,True,True
"Santorini, Greece Variant 21",Greece,Europe,13386,87.49877398925489,94.5052621658115,Mediterranean,"['Sunset watching', 'Wine tasting', 'Beach relaxation']",Relaxation,True,False,False,True,False
Maldives Variant 22,Maldives,Asia,607014,116.73648286500223,92.55401609057263,Tropical,"['Snorkeling', 'Private villas', 'Spa resorts']",Relaxation,False,False,False,True,True
"Bali, Indonesia Variant 23",Indonesia,Asia,3075293,52.60821333969831,84.11552487872504,Tropical,"['Beach lounging', 'Spa treatments', 'Yoga retreats']",Relaxation,True,False,True,False,False
"Phuket, Thailand Variant 24",Thailand,Asia,590718,51.15184058082015,83.43470630612148,Tropical,"['Island hopping', 'Massage', 'Beach bars']",Relaxation,True,False,False,False,False
Maldives Variant 25,Maldives,Asia,608962,131.251932862553,82.99813563416224,Tropical,"['Snorkeling', 'Private villas', 'Spa resorts']",Relaxation,False,False,False,False,True
"Phuket, Thailand Variant 26",Thailand,Asia,418077,64.79580924433087,89.91515396978268,Tropical,"['Island hopping', 'Massage', 'Beach bars']",Relaxation,True,False,False,True,False
"Phuket, Thailand Variant 27",Thailand,Asia,273703,49.0860956270653,77.91499280369553,Tropical,"['Island hopping', 'Massage', 'Beach bars']",Relaxation,True,False,False,False,False
"Bali, Indonesia Variant 28",Indonesia,Asia,2240836,70.09771312459624,82.01017240023461,Tropical,"['Beach lounging', 'Spa treatments', 'Yoga retreats']",Relaxation,True,False,True,False,False
Maldives Variant 29,Maldives,Asia,677503,140.87035228146672,80.26329310028937,Tropical,"['Snorkeling', 'Private villas', 'Spa resorts']",Relaxation,False,False,False,False,True
"Hawaii, USA Variant 30",USA,North America,1339800,110.55155876418613,99.52844604820986,Tropical,"['Beach activities', 'Volcano tours', 'Luau experiences']",Relaxation,True,False,True,True,True
"Phuket, Thailand Variant 31",Thailand,Asia,414270,74.14251262612413,79.63205609511445,Tropical,"['Island hopping', 'Massage', 'Beach bars']",Relaxation,True,False,False,False,False
Maldives Variant 32,Maldives,Asia,616219,144.134349032237,94.38397906279033,Tropical,"['Snorkeling', 'Private villas', 'Spa resorts']",Relaxation,False,False,False,True,True
Maldives Variant 33,Maldives,Asia,593475,128.22214458507648,81.59869206403046,Tropical,"['Snorkeling', 'Private villas', 'Spa resorts']",Relaxation,False,False,False,False,True
"Santorini, Greece Variant 34",Greece,Europe,21709,92.7996862631982,82.37255476350812,Mediterranean,"['Sunset watching', 'Wine tasting', 'Beach relaxation']",Relaxation,True,False,False,False,False
"Santorini, Greece Variant 35",Greece,Europe,16671,91.09394794604893,91.62883311949346,Mediterranean,"['Sunset watching', 'Wine tasting', 'Beach relaxation']",Relaxation,True,False,False,True,False
"Hawaii, USA Variant 36",USA,North America,1806118,103.97352194694685,93.50924584080047,Tropical,"['Beach activities', 'Volcano tours', 'Luau experiences']",Relaxation,True,False,True,True,True
"Bali, Indonesia Variant 37",Indonesia,Asia,3881348,56.838833519051576,80.50047721289849,Tropical,"['Beach lounging', 'Spa treatments', 'Yoga retreats']",Relaxation,True,False,True,False,False
Maldives Variant 38,Maldives,Asia,513453,165.38691101737487,87.61976333553896,Tropical,"['Snorkeling', 'Private villas', 'Spa resorts']",Relaxation,False,False,False,True,True
"Phuket, Thailand Variant 39",Thailand,Asia,369308,52.03497041342413,85.3038761586107,Tropical,"['Island hopping', 'Massage', 'Beach bars']",Relaxation,True,False,False,True,False
"Bali, Indonesia Variant 40",Indonesia,Asia,2119454,44.87895624739832,71.72571664067115,Tropical,"['Beach lounging', 'Spa treatments', 'Yoga retreats']",Relaxation,True,False,True,False,False
"Bali, Indonesia Variant 41",Indonesia,Asia,5726776,54.3452264624254,84.037086805414,Tropical,"['Beach lounging', 'Spa treatments', 'Yoga retreats']",Relaxation,True,False,True,False,False
Maldives Variant 42,Maldives,Asia,668250,124.97234982369396,83.69632417554091,Tropical,"['Snorkeling', 'Private villas', 'Spa resorts']",Relaxation,False,False,False,False,True
"Hawaii, USA Variant 43",USA,North America,1977849,114.7168810519784,79.35117848413596,Tropical,"['Beach activities', 'Volcano tours', 'Luau experiences']",Relaxation,True,False,True,False,True
"Hawaii, USA Variant 44",USA,North America,1286495,107.69065469791322,90.48103182406709,Tropical,"['Beach activities', 'Volcano tours', 'Luau experiences']",Relaxation,True,False,True,True,True
Maldives Variant 45,Maldives,Asia,611422,137.31111309445168,79.46737045629165,Tropical,"['Snorkeling', 'Private villas', 'Spa resorts']",Relaxation,False,False,False,False,True
"Hawaii, USA Variant 46",USA,North America,1449097,104.216860770727,82.4472107763006,Tropical,"['Beach activities', 'Volcano tours', 'Luau experiences']",Relaxation,True,False,True,False,True
"Phuket, Thailand Variant 47",Thailand,Asia,376873,73.49704627310695,80.35191329096796,Tropical,"['Island hopping', 'Massage', 'Beach bars']",Relaxation,True,False,False,False,False
"Phuket, Thailand Variant 48",Thailand,Asia,472489,70.86105526769656,80.02708840881702,Tropical,"['Island hopping', 'Massage', 'Beach bars']",Relaxation,True,False,False,False,False
Maldives Variant 49,Maldives,Asia,305482,137.45022782579144,92.51996494291345,Tropical,"['Snorkeling', 'Private villas', 'Spa resorts']",Relaxation,False,False,False,True,True
"Santorini, Greece Variant 50",Greece,Europe,15516,84.36233557876965,70.15897350320058,Mediterranean,"['Sunset watching', 'Wine tasting', 'Beach relaxation']",Relaxation,True,False,False,False,False
Maldives Variant 51,Maldives,Asia,353829,142.89842264168468,83.72589365813818,Tropical,"['Snorkeling', 'Private villas', 'Spa resorts']",Relaxation,False,False,False,False,True
Maldives Variant 52,Maldives,Asia,471587,148.33223877620742,78.3673049194512,Tropical,"['Snorkeling', 'Private villas', 'Spa resorts']",Relaxation,False,False,False,False,True
"Hawaii, USA Variant 53",USA,North America,1821049,107.43182972074268,92.12143290889695,Tropical,"['Beach activities', 'Volcano tours', 'Luau experiences']",Relaxation,True,False,True,True,True
"Bali, Indonesia Variant 54",Indonesia,Asia,3032283,62.21672064043235,74.35474114391386,Tropical,"['Beach lounging', 'Spa treatments', 'Yoga retreats']",Relaxation,True,False,True,False,False
"Phuket, Thailand Variant 55",Thailand,Asia,459920,68.12560596363065,72.59654115362744,Tropical,"['Island hopping', 'Massage', 'Beach bars']",Relaxation,True,False,False,False,False
Maldives Variant 56,Maldives,Asia,622482,136.49318472121212,83.85391974223204,Tropical,"['Snorkeling', 'Private villas', 'Spa resorts']",Relaxation,False,False,False,False,True
Maldives Variant 57,Maldives,Asia,789830,123.0673382529021,80.49733557406428,Tropical,"['Snorkeling', 'Private villas', 'Spa resorts']",Relaxation,False,False,False,False,True
"Santorini, Greece Variant 58",Greece,Europe,7695,73.302208279316,96.82343467131359,Mediterranean,"['Sunset watching', 'Wine tasting', 'Beach relaxation']",Relaxation,True,False,False,True,False
"Santorini, Greece Variant 59",Greece,Europe,21159,75.01340598493046,93.69578786430839,Mediterranean,"['Sunset watching', 'Wine tasting', 'Beach relaxation']",Relaxation,True,False,False,True,False
"Santorini, Greece Variant 60",Greece,Europe,12945,101.8521029151089,84.64980403222327,Mediterranean,"['Sunset watching', 'Wine tasting', 'Beach relaxation']",Relaxation,True,False,False,False,True
"Bali, Indonesia Variant 61",Indonesia,Asia,3931731,57.11017467202618,79.51643444064804,Tropical,"['Beach lounging', 'Spa treatments', 'Yoga retreats']",Relaxation,True,False,True,False,False
"Hawaii, USA Variant 62",USA,North America,896158,109.62365297575151,92.5165094100826,Tropical,"['Beach activities', 'Volcano tours', 'Luau experiences']",Relaxation,True,False,False,True,True
"Bali, Indonesia Variant 63",Indonesia,Asia,4136069,72.01429243526172,80.43849741430869,Tropical,"['Beach lounging', 'Spa treatments', 'Yoga retreats']",Relaxation,True,False,True,False,False
"Santorini, Greece Variant 64",Greece,Europe,17002,83.77145496898717,85.90928482995363,Mediterranean,"['Sunset watching', 'Wine tasting', 'Beach relaxation']",Relaxation,True,False,False,True,False
Maldives Variant 65,Maldives,Asia,497720,151.03025266777783,90.75712687232367,Tropical,"['Snorkeling', 'Private villas', 'Spa resorts']",Relaxation,False,False,False,True,True
"Santorini, Greece Variant 66",Greece,Europe,15444,89.91763432937921,94.79578813605279,Mediterranean,"['Sunset watching', 'Wine tasting', 'Beach relaxation']",Relaxation,True,False,False,True,False
"Santorini, Greece Variant 67",Greece,Europe,15812,100.29155637325644,90.36298741206521,Mediterranean,"['Sunset watching', 'Wine tasting', 'Beach relaxation']",Relaxation,True,False,False,True,True
"Phuket, Thailand Variant 68",Thailand,Asia,214618,62.56029734313876,86.91345491972757,Tropical,"['Island hopping', 'Massage', 'Beach bars']",Relaxation,True,False,False,True,False
"Hawaii, USA Variant 69",USA,North America,1586337,137.60761935726185,85.92157236549372,Tropical,"['Beach activities', 'Volcano tours', 'Luau experiences']",Relaxation,True,False,True,True,True
"Bali, Indonesia Variant 70",Indonesia,Asia,3858836,58.83613953816771,68.15139295257777,Tropical,"['Beach lounging', 'Spa treatments', 'Yoga retreats']",Relaxation,True,False,True,False,False
"Santorini, Greece Variant 71",Greece,Europe,9994,86.5198691370316,88.99279181448146,Mediterranean,"['Sunset watching', 'Wine tasting', 'Beach relaxation']",Relaxation,True,False,False,True,False
"Hawaii, USA Variant 72",USA,North America,1779380,118.24415388257461,86.37693109328265,Tropical,"['Beach activities', 'Volcano tours', 'Luau experiences']",Relaxation,True,False,True,True,True
Maldives Variant 73,Maldives,Asia,430445,130.50601111168058,98.16191032418695,Tropical,"['Snorkeling', 'Private villas', 'Spa resorts']",Relaxation,False,False,False,True,True
"Phuket, Thailand Variant 74",Thailand,Asia,413177,62.977602509183974,73.4022949664389,Tropical,"['Island hopping', 'Massage', 'Beach bars']",Relaxation,True,False,False,False,False
Maldives Variant 75,Maldives,Asia,591342,139.94663529163336,81.70615587109322,Tropical,"['Snorkeling', 'Private villas', 'Spa resorts']",Relaxation,False,False,False,False,True
"Phuket, Thailand Variant 76",Thailand,Asia,274962,55.19877410203706,93.49234430867416,Tropical,"['Island hopping', 'Massage', 'Beach bars']",Relaxation,True,False,False,True,False
"Bali, Indonesia Variant 77",Indonesia,Asia,2415578,54.65011509503038,88.85400317817755,Tropical,"['Beach lounging', 'Spa treatments', 'Yoga retreats']",Relaxation,True,False,True,True,False
Maldives Variant 78,Maldives,Asia,593074,132.0304856422545,84.62114586389274,Tropical,"['Snorkeling', 'Private villas', 'Spa resorts']",Relaxation,False,False,False,False,True
"Santorini, Greece Variant 79",Greece,Europe,19491,79.12219064738238,92.64741253672385,Mediterranean,"['Sunset watching', 'Wine tasting', 'Beach relaxation']",Relaxation,True,False,False,True,False
"Santorini, Greece Variant 80",Greece,Europe,9046,99.85722716823564,85.02767725930889,Mediterranean,"['Sunset watching', 'Wine tasting', 'Beach relaxation']",Relaxation,True,False,False,True,False
"Bali, Indonesia Variant 81",Indonesia,Asia,2674638,54.25566570899954,83.10336048775339,Tropical,"['Beach lounging', 'Spa treatments', 'Yoga retreats']",Relaxation,True,False,True,False,False
"Hawaii, USA Variant 82",USA,North America,1458661,113.80197851005963,90.05292872641911,Tropical,"['Beach activities', 'Volcano tours', 'Luau experiences']",Relaxation,True,False,True,True,True
"Phuket, Thailand Variant 83",Thailand,Asia,528795,68.37697438400488,88.83992653721207,Tropical,"['Island hopping', 'Massage', 'Beach bars']",Relaxation,True,False,False,True,False
"Bali, Indonesia Variant 84",Indonesia,Asia,5894128,68.5484517237325,85.14321315151533,Tropical,"['Beach lounging', 'Spa treatments', 'Yoga retreats']",Relaxation,True,False,True,True,False
"Bali, Indonesia Variant 85",Indonesia,Asia,6065049,63.184847346385396,80.66923827123,Tropical,"['Beach lounging', 'Spa treatments', 'Yoga retreats']",Relaxation,True,False,True,False,False
"Phuket, Thailand Variant 86",Thailand,Asia,517029,58.07220212761392,81.22981642016634,Tropical,"['Island hopping', 'Massage', 'Beach bars']",Relaxation,True,False,False,False,False
Maldives Variant 87,Maldives,Asia,779903,151.29069437535142,84.59792113145504,Tropical,"['Snorkeling', 'Private villas', 'Spa resorts']",Relaxation,False,False,False,False,True
Maldives Variant 88,Maldives,Asia,442314,125.9484007763554,87.50516671758672,Tropical,"['Snorkeling', 'Private villas', 'Spa resorts']",Relaxation,False,False,False,True,True
"Hawaii, USA Variant 89",USA,North America,1373486,110.79657857527587,92.06658018027677,Tropical,"['Beach activities', 'Volcano tours', 'Luau experiences']",Relaxation,True,False,True,True,True
"Santorini, Greece Variant 90",Greece,Europe,18371,88.13128355838641,85.80134470862913,Mediterranean,"['Sunset watching', 'Wine tasting', 'Beach relaxation']",Relaxation,True,False,False,True,False
"Bali, Indonesia Variant 91",Indonesia,Asia,4361286,67.30161313457147,84.18030525579762,Tropical,"['Beach lounging', 'Spa treatments', 'Yoga retreats']",Relaxation,True,False,True,False,False
"Bali, Indonesia Variant 92",Indonesia,Asia,5821106,41.50536428574476,82.92751730429289,Tropical,"['Beach lounging', 'Spa treatments', 'Yoga retreats']",Relaxation,True,False,True,False,False
Maldives Variant 93,Maldives,Asia,739853,147.13399590205447,85.23508606561873,Tropical,"['Snorkeling', 'Private villas', 'Spa resorts']",Relaxation,False,False,False,True,True
Maldives Variant 94,Maldives,Asia,307816,165.97704643234383,81.74814527964986,Tropical,"['Snorkeling', 'Private villas', 'Spa resorts']",Relaxation,False,False,False,False,True
"Hawaii, USA Variant 95",USA,North America,2077716,105.54497478599228,94.2669223855885,Tropical,"['Beach activities', 'Volcano tours', 'Luau experiences']",Relaxation,True,False,True,True,True
"Hawaii, USA Variant 96",USA,North America,1732615,105.79813182904142,85.59107695569746,Tropical,"['Beach activities', 'Volcano tours', 'Luau experiences']",Relaxation,True,False,True,True,True
"Santorini, Greece Variant 97",Greece,Europe,11944,70.6632169889244,81.96302084176813,Mediterranean,"['Sunset watching', 'Wine tasting', 'Beach relaxation']",Relaxation,True,False,False,False,False
"Hawaii, USA Variant 98",USA,North America,1005555,108.34276946853385,82.8720757849127,Tropical,"['Beach activities', 'Volcano tours', 'Luau experiences']",Relaxation,True,False,True,False,True
Maldives Variant 99,Maldives,Asia,758010,138.5081084024128,81.702932942745,Tropical,"['Snorkeling', 'Private villas', 'Spa resorts']",Relaxation,False,False,False,False,True
"Phuket, Thailand Variant 100",Thailand,Asia,482851,62.89168643907818,94.27650069955448,Tropical,"['Island hopping', 'Massage', 'Beach bars']",Relaxation,True,False,False,True,False
"Santorini, Greece Variant 101",Greece,Europe,8204,85.84132658588216,87.47975121600182,Mediterranean,"['Sunset watching', 'Wine tasting', 'Beach relaxation']",Relaxation,True,False,False,True,False
"Santorini, Greece Variant 102",Greece,Europe,19193,85.0403095367353,87.15942552187353,Mediterranean,"['Sunset watching', 'Wine tasting', 'Beach relaxation']",Relaxation,True,False,False,True,False
"Bali, Indonesia Variant 103",Indonesia,Asia,4276693,61.31446293533938,92.26921087072854,Tropical,"['Beach lounging', 'Spa treatments', 'Yoga retreats']",Relaxation,True,False,True,True,False
Maldives Variant 104,Maldives,Asia,483970,147.95906504847474,90.242654692538,Tropical,"['Snorkeling', 'Private villas', 'Spa resorts']",Relaxation,False,False,False,True,True
Maldives Variant 105,Maldives,Asia,710549,132.9478926367022,81.48189968536776,Tropical,"['Snorkeling', 'Private villas', 'Spa resorts']",Relaxation,False,False,False,False,True
"Bali, Indonesia Variant 106",Indonesia,Asia,4590347,46.598899214166615,80.8234891371857,Tropical,"['Beach lounging', 'Spa treatments', 'Yoga retreats']",Relaxation,True,False,True,False,False
"Bali, Indonesia Variant 107",Indonesia,Asia,3742913,53.19009261060276,71.1906812898013,Tropical,"['Beach lounging', 'Spa treatments', 'Yoga retreats']",Relaxation,True,False,True,False,False
Maldives Variant 108,Maldives,Asia,786051,142.85865390724905,86.67228394993512,Tropical,"['Snorkeling', 'Private villas', 'Spa resorts']",Relaxation,False,False,False,True,True
"Bali, Indonesia Variant 109",Indonesia,Asia,4413600,53.2305277250595,76.00851377730773,Tropical,"['Beach lounging', 'Spa treatments', 'Yoga retreats']",Relaxation,True,False,True,False,False
Maldives Variant 110,Maldives,Asia,660646,131.59091201952145,84.95860962724976,Tropical,"['Snorkeling', 'Private villas', 'Spa resorts']",Relaxation,False,False,False,False,True
"Hawaii, USA Variant 111",USA,North America,853256,119.07494768417256,87.17947274883849,Tropical,"['Beach activities', 'Volcano tours', 'Luau experiences']",Relaxation,True,False,False,True,True
Maldives Variant 112,Maldives,Asia,457816,146.81891489626312,94.23353662868017,Tropical,"['Snorkeling', 'Private villas', 'Spa resorts']",Relaxation,False,False,False,True,True
"Phuket, Thailand Variant 113",Thailand,Asia,518242,71.01656713996367,82.31808879975085,Tropical,"['Island hopping', 'Massage', 'Beach bars']",Relaxation,True,False,False,False,False
"Hawaii, USA Variant 114",USA,North America,1890814,114.05617593140379,90.57503506900571,Tropical,"['Beach activities', 'Volcano tours', 'Luau experiences']",Relaxation,True,False,True,True,True
Maldives Variant 115,Maldives,Asia,398892,130.71730548583548,87.97184404461585,Tropical,"['Snorkeling', 'Private villas', 'Spa resorts']",Relaxation,False,False,False,True,True
"Phuket, Thailand Variant 116",Thailand,Asia,579965,58.328819196831454,82.73356843216662,Tropical,"['Island hopping', 'Massage', 'Beach bars']",Relaxation,True,False,False,False,False
Maldives Variant 117,Maldives,Asia,393457,155.67307866638953,86.7155454147588,Tropical,"['Snorkeling', 'Private villas', 'Spa resorts']",Relaxation,False,False,False,True,True
"Hawaii, USA Variant 118",USA,North America,708940,118.1775269587605,79.55303470175348,Tropical,"['Beach activities', 'Volcano tours', 'Luau experiences']",Relaxation,True,False,False,False,True
"Bali, Indonesia Variant 119",Indonesia,Asia,4451346,52.16890998764747,75.58986329396286,Tropical,"['Beach lounging', 'Spa treatments', 'Yoga retreats']",Relaxation,True,False,True,False,False
"Phuket, Thailand Variant 120",Thailand,Asia,537535,62.665805466949365,79.99310121333886,Tropical,"['Island hopping', 'Massage', 'Beach bars']",Relaxation,True,False,False,False,False
"Santorini, Greece Variant 121",Greece,Europe,13983,86.4885930617916,93.53694214169357,Mediterranean,"['Sunset watching', 'Wine tasting', 'Beach relaxation']",Relaxation,True,False,False,True,False
"Phuket, Thailand Variant 122",Thailand,Asia,253054,61.75545829890508,84.04256174188713,Tropical,"['Island hopping', 'Massage', 'Beach bars']",Relaxation,True,False,False,False,False
"Santorini, Greece Variant 123",Greece,Europe,21709,94.90419571702766,84.98109880468965,Mediterranean,"['Sunset watching', 'Wine tasting', 'Beach relaxation']",Relaxation,True,False,False,False,False
"Bali, Indonesia Variant 124",Indonesia,Asia,4545115,66.95046628924842,72.38406547608113,Tropical,"['Beach lounging', 'Spa treatments', 'Yoga retreats']",Relaxation,True,False,True,False,False
Maldives Variant 125,Maldives,Asia,730303,160.20401963682113,81.30062861768306,Tropical,"['Snorkeling', 'Private villas', 'Spa resorts']",Relaxation,False,False,False,False,True
"Hawaii, USA Variant 126",USA,North America,1761568,108.68961593001004,76.82379879687248,Tropical,"['Beach activities', 'Volcano tours', 'Luau experiences']",Relaxation,True,False,True,False,True
Maldives Variant 127,Maldives,Asia,406354,146.7829941119204,84.75985234642911,Tropical,"['Snorkeling', 'Private villas', 'Spa resorts']",Relaxation,False,False,False,False,True
Maldives Variant 128,Maldives,Asia,513748,144.40014450053332,82.48972887823695,Tropical,"['Snorkeling', 'Private villas', 'Spa resorts']",Relaxation,False,False,False,False,True
"Phuket, Thailand Variant 129",Thailand,Asia,335317,64.63723857390433,84.88908445440569,Tropical,"['Island hopping', 'Massage', 'Beach bars']",Relaxation,True,False,False,False,False
"Hawaii, USA Variant 130",USA,North America,1616315,107.77587221544434,81.26520685633281,Tropical,"['Beach activities', 'Volcano tours', 'Luau experiences']",Relaxation,True,False,True,False,True
"Phuket, Thailand Variant 131",Thailand,Asia,592000,56.56311652062217,89.74604738263152,Tropical,"['Island hopping', 'Massage', 'Beach bars']",Relaxation,True,False,False,True,False
Maldives Variant 132,Maldives,Asia,491040,137.5876394214367,86.76027698257148,Tropical,"['Snorkeling', 'Private villas', 'Spa resorts']",Relaxation,False,False,False,True,True
"Phuket, Thailand Variant 133",Thailand,Asia,294150,64.02768291993094,85.4493162489815,Tropical,"['Island hopping', 'Massage', 'Beach bars']",Relaxation,True,False,False,True,False
